Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
"1,2-dimethyl-3 hydroxypyrid-4-one caps","Each capsule contains; 1,2-dimethyl-3 hydroxypyrid-4-one-250mg, 500mg.",,07/12/1994,Cipla ltd.
1-(2-tetrahydrofuryl)-5-Fluorouracil,,"Anticancer drug- indicated in the treatment of cancer of stomach, colon, rectum, breast and lung.",1977-June,"Khandebwal Labs, Bombay/Okasa"
1-(3-Methylphenyl) Piperazine,NA,NA,04-JUN-2020,Pharmazz India Private Limited
13-Valent Pneumococcal Polysaccharide Conjugate Vaccine I.P. (Pcv13-Tt) Adsorbed,"Pneumococcal Polysaccharide Serotype 1 2.6000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 3 2.5000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 4 3.0000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 5 2.5000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 6a 2.5000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 7f 2.8500 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 9v 2.5000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 14 2.7500 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 18c 3.2500 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 19a 2.6000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 19f 2.7500 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 23f 3.0000 Micrograms (Μg),Pneumococcal Polysaccharide Serotype 6b 6.0000 Micrograms (Μg)","Active Immunization For The Prevention Of Invasive Diseases Caused By 13 Serotypes (1, 3, 4, 5, 6a, 6b, 7f, 9v, 14, 18c, 19a, 19f And 23f) Of Streptococcus Pneumoniae In Infants And Children 6 Weeks Through 5 Years Of Age (Before 6th Birthday)",31-JAN-2024,G.C.CHEMIE PHARMIE LTD.
14 Tablets Of Ticagrelor 90 Mg+7 Tablets Of Aspirin Tablets Ip 75mg,"Ticagrelor 90.0000 Milligram (Mg),Aspirin 75.0000 Milligram (Mg)","For The Prevention Of Thrombotic Events (Cardiovascular Death, Myocardial Infarction And Stroke) In Patients With Acute Coronary Syndromes (Acs) Including Patients Managed Medically, And Those Who Are Managed With Percutaneous Coronary Intervention (Pci) Or Coronary Artery By-Pass Grafting (Cabg) Where Both Ticagrelor And Aspirin Are Required.",20-OCT-2021,Mascot Health Series Pvt Ltd
17Î²-estradiol intranasal spray,Each spray (0.07ml) delivers; 17-Î²-estradiol hemihydrate-150mcg,For treatment of oestrogen deficiency symptoms in post-menopausal women.,18-06-2003,Serdia pharma
17β-Estradiol,17β-Estradiol 0.0600 %W/W,"• Hormone Replacement Therapy (Hrt) For Oestrogen Deficiency Symptoms In Postmenopausal Or Ovariectomised Women: Vasomotor Disorders (Hot Flushes, Night Sweats), Urogenital Atrophic Changes (Vulvovaginal Atrophy, Dyspareunia, Urinary Incontinence) And Psychiatric Disorders (Sleep Disturbances, Asthenia)    • Prevention Of Osteoporosis In Menopausal Women At High Risk Of Fractures Who Are Intolerant Of, Or Contraindicated For, Other Medicinal Products Approved For The Prevention Of Osteoporosis.",27-DEC-2021,Besins Healthcare Services India Pvt Ltd
"1-Nicotinylamine-1,2-diphenylethane",,,1969- June,"Ethnor ltd., Bombay"
"1. PROBIO : Each sachet (1g) contains: Total Probiotic.... Not less than 1.25 Billion CFU (Lactobacillus acidophilus, Lactobacillus rhamnosus, Bifidobacterium longum, Saccharomyces boulardii 2. PROBIO & PREBIO (F)s Each sachet (1g) contains: Probio (CMP 5Þ¡",,For the treatment of rotavirus diarrhoea.,09.06.11,
1 tablet of Atazanavir 300mg & 1 tablet of ritonavir Ritonavir 100mg & FDC of Tenofovir Disoproxil fumarate 300mg + Lamivudine 300mg (Each Co-pack contains :- 1 capsule of Atazanavir 300mg & 1 Tablet of Ritonavir 100mg & 1 Tablet of FDC of  Tenofovir DisoÞ¡,,For the treatment of HIV infections in adults.,19.07.10,
